,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
592,Mt Pleasant Home Inc.,Jamaica Plain,02199,60,60,0,22.0,22.0,0.0,38,38,0.0,Rental,Private,,
593,Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,02121,16,6,10,0.0,0.0,0.0,16,6,10.0,Ownership/Rental,Private,,
594,Munevar (VUP),Jamaica Plain,02130,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
595,Mystic Studios,South End,02118,32,32,0,26.0,26.0,0.0,6,6,0.0,Rental,Private,,
596,Nashua St Residences at the Fleet Center,West End,02114,503,503,0,473.0,473.0,0.0,30,30,0.0,Rental,Private,,
597,Nate Smith House,Jamaica Plain,02130,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,
598,Nazing Court,Roxbury,02121,151,151,0,0.0,0.0,0.0,151,151,0.0,Rental,Private,,
599,NEBH Redevelopment,Mission Hill,02120,75,75,0,60.0,60.0,0.0,15,15,0.0,Rental,Private,Y,
600,NEMA Boston,South Boston Waterfront,02127,414,414,0,360.0,360.0,0.0,54,54,0.0,Rental,Private,,
601,Neponset Fields - Elderly Housing (202),Hyde Park,02136,31,31,0,1.0,1.0,0.0,30,30,0.0,Rental,Private,Y,
602,New England Heritage Homes 1,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
603,New England Heritage Homes 2,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
604,New England Heritage Homes 3,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
605,New England Heritage Homes 4,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
606,New England Heritage Homes 5,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
607,New England Heritage Homes 6,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
608,New England Heritage Homes 7,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
609,New Port Antonio Apts,Roxbury,02119,227,227,0,0.0,0.0,0.0,227,227,0.0,Rental,Private,,Y
610,Newcastle/Saranac,Roxbury,02127,97,97,0,48.0,48.0,0.0,49,49,0.0,Rental,Private,,Y
611,Nor-al,Dorchester,02124,57,57,0,0.0,0.0,0.0,57,57,0.0,Rental,Private,,Y
612,Norfield,Dorchester,02121,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y
613,Norflett (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
614,Norfolk Street Transitional,Mattapan,02126,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
615,North Suffolk Group Home,East Boston,02128,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,
616,North Suffolk Group Home 2,Hyde Park,02136,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,
617,Northampton Street,Roxbury,02118,32,0,32,26.0,0.0,26.0,6,0,6.0,Ownership,Private,,
618,Northampton Tower,Roxbury,02118,347,347,0,86.0,86.0,0.0,261,261,0.0,Rental,Private,,
619,Northampton/Mass. Ave,Roxbury,02118,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
620,Norway Housing,Fenway,02115,136,136,0,0.0,0.0,0.0,136,136,0.0,Rental,Private,Y,Y
621,Norwell Whitfield (HOME AGAIN),Dorchester,02124,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
622,Nu Life Development,Dorchester,02121,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
623,OAK ROW,West Roxbury,02132,80,80,0,70.0,70.0,0.0,10,10,0.0,Rental,Private,,
624,Oak Terrace,Chinatown,02111,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,Y,Y
625,O'Connor Way [Pier 4/Phase III Offsite Affordables],South Boston,02127,47,47,0,1.0,1.0,0.0,46,46,0.0,Rental,Private,Y,
626,Off Centre Lofts,Jamaica Plain,02130,21,21,0,19.0,19.0,0.0,2,2,0.0,Rental,Private,,
627,Old Colony (2-24),South Boston,02127,873,873,0,0.0,0.0,0.0,873,873,0.0,Rental,Public,,
628,Old Colony Square,South Boston,02127,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership,Private,,
629,Oliveira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
630,Olmstead Green Phase 2,Mattapan,02124,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,
631,Olmstead Green Phase I Rental,Mattapan,02124,51,51,0,0.0,0.0,0.0,51,51,0.0,Rental,Private,,
632,Olmsted Green - Mixed Income Rental,Mattapan,02124,100,100,0,60.0,60.0,0.0,40,40,0.0,Rental,Private,,
633,Olmsted Green Phase 4,Mattapan,02124,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,,
634,Olmsted Green Rental Housing Phase 3,Mattapan,02124,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,
635,Olmsted Place,Jamaica Plain,02115,196,196,0,159.0,159.0,0.0,37,37,0.0,Rental,Private,,
636,On Luck Housing,Chinatown,02111,75,75,0,1.0,1.0,0.0,74,74,0.0,Rental,Private,Y,Y
637,One Canal,West End,02114,310,310,0,290.0,290.0,0.0,20,20,0.0,Rental,Private,,
638,One Garden Condominium,Beacon Hill,02114,12,0,12,11.0,0.0,11.0,1,0,1.0,Ownership,Private,,
639,One Greenway (Parcel 24 North/Affordable),Chinatown,02111,312,312,0,217.0,217.0,0.0,95,95,0.0,Rental,Private,,Y
640,One Lenox (SPO),Roxbury,02118,26,26,0,1.0,0.0,1.0,25,25,0.0,Rental,Private,,
641,One Lincoln Plaza,Leather District,02111,85,0,85,74.0,0.0,74.0,11,0,11.0,Ownership,Private,,
642,One Newcomb Place,Roxbury,02118,23,23,0,20.0,20.0,0.0,3,3,0.0,Rental,Private,,
643,Orchard Gardens,Roxbury,02119,331,331,0,49.0,49.0,0.0,282,282,0.0,Rental,Public,,
644,Orchard Park (Off-Site Phase I),Roxbury,02119,78,78,0,14.0,14.0,0.0,64,64,0.0,Rental,Private,,
645,Orient Heights (200-8),East Boston,02128,331,331,0,0.0,0.0,0.0,331,331,0.0,Rental,Public,,
646,Otis Field Estates,Roxbury,02121,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
647,Owens (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
648,Oxford Ping On,Chinatown,02111,67,67,0,1.0,1.0,0.0,66,66,0.0,Rental,Private,,
649,Oxford Place,Chinatown,02111,39,39,0,0.0,0.0,0.0,39,39,0.0,Rental,Private,,Y
650,Packard Crossing Phase I,Allston,02134,38,38,0,33.0,33.0,0.0,5,5,0.0,Rental,Private,,
651,Parcel 24/South Homeownership,Chinatown,02111,51,0,51,0.0,0.0,0.0,51,0,51.0,Ownership,Private,,
652,Parcel 25 (Phase 1A),Mission Hill,02120,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,,
653,Parcel 39A,Charlestown,02129,54,0,54,43.0,0.0,43.0,11,0,11.0,Ownership,Private,,
654,Parcel P-2,Charlestown,02129,21,0,21,14.0,0.0,14.0,7,0,7.0,Ownership,Private,,
655,Parcel R-8,Roxbury,02118,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,
656,Parcel U (Phase A & C),Jamaica Plain,02130,102,78,24,21.0,0.0,21.0,81,78,3.0,Ownership/Rental,Private,,
657,Parcel U (Phase B),Jamaica Plain,02130,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,
658,Paris Village,East Boston,02128,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,
659,Park Cinema,Dorchester,02122,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y
660,Park Congregate,Dorchester,02124,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,Y,
661,Park Gardens,Roxbury,02119,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y
662,Park Lane Seaport Apartments (Massport Parcels G & J),South Boston Waterfront,02127,465,112,353,447.0,97.0,350.0,18,15,3.0,Ownership,Private,,
663,Parker Hill Apts,Mission Hill,02120,90,90,0,0.0,0.0,0.0,90,90,0.0,Rental,Private,,
664,Parkside on Adams,Roslindale,02131,43,43,0,37.0,37.0,0.0,6,6,0.0,Rental,Private,,
665,Parkview SRO,Fenway,02115,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,
666,Parmelee Court,Roxbury,02118,74,74,0,25.0,25.0,0.0,49,49,0.0,Rental,Private,,
667,Parry (VUP),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
668,Pasciucco Apts (2-54),Dorchester,02125,92,92,0,0.0,0.0,0.0,92,92,0.0,Rental,Public,Y,
669,Pass (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
670,Patricia White (2-71),Brighton,02135,225,225,0,0.0,0.0,0.0,225,225,0.0,Rental,Public,Y,
671,Patrick (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
672,PBX Residences,Chinatown,02111,46,46,0,39.0,39.0,0.0,7,7,0.0,Rental,Private,,
673,Peabody Building,Dorchester,02124,18,18,0,7.0,7.0,0.0,11,11,0.0,Rental,Private,,
674,Peabody Square/Englewood (2-83),Dorchester,02124,103,103,0,0.0,0.0,0.0,103,103,0.0,Rental,Public,Y,
675,Penniman on the Park,Allston,02134,36,0,36,30.0,0.0,30.0,6,0,6.0,Ownership,Private,,
676,Penny Savings,South End,02118,23,0,23,21.0,0.0,21.0,2,0,2.0,Ownership,Private,,
677,Pereira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
678,Perkins (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
679,Peterborough Housing,Fenway,02215,220,220,0,0.0,0.0,0.0,220,220,0.0,Rental,Private,,Y
680,Peters (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
681,Phillips Brooks School,Dorchester,02121,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,,
682,Pickle Factory (Oliver Lofts),Mission Hill,02120,62,62,0,19.0,19.0,0.0,43,43,0.0,Rental,Private,,
683,Pine Street Harrison (SPO),South End,02118,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
684,Pine Street Inn (689-1),South End,02118,150,150,0,0.0,0.0,0.0,150,150,0.0,Rental,Public,,
685,Pine Street Park Dr (SPO),Fenway,02215,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,
686,Pinnock (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
687,Pond View Apartments,Jamaica Plain,02130,60,60,0,4.0,4.0,0.0,56,56,0.0,Rental,Private,,Y
688,Port 45,South Boston,02127,104,0,104,91.0,0.0,91.0,13,0,13.0,Ownership,Private,,
689,Portis Family House,Jamaica Plain,02115,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
690,Powell (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
691,Prang Estates,Roxbury,02119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,
692,Project Family Independence,Roxbury,02119,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
693,Putnam Place,Roxbury,02121,9,1,8,2.0,0.0,2.0,7,1,6.0,Ownership/Rental,Private,,
694,Quincy Commons,Roxbury,02119,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,
695,Quincy Heights,Dorchester,02121,129,129,0,0.0,0.0,0.0,129,129,0.0,Rental,Private,,Y
696,Quincy Tower,Chinatown,02116,161,161,0,0.0,0.0,0.0,161,161,0.0,Rental,Private,Y,
697,RAP-UP I,Roxbury,02119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,Y
698,RAP-UP II B,Roxbury,02119,51,51,0,0.0,0.0,0.0,51,51,0.0,Rental,Private,,Y
699,Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1.0,0.0,1.0,6,3,3.0,Ownership/Rental,Private,,
700,Reddick (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
701,Renwood-Cunard,Roxbury,02120,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,
702,Reservoir Towers,Brighton,02135,242,242,0,0.0,0.0,0.0,242,242,0.0,Rental,Private,Y,Y
703,Residences At Bigelow Court,Brighton,02135,26,0,26,23.0,0.0,23.0,3,0,3.0,Ownership/Rental,Private,,
704,Residences at Brighton Marine,Brighton,02135,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,
705,Residences at Dahlgren Hall,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
706,Residences at Fairmount Station,Hyde Park,02136,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,
707,Riley House - 202,Hyde Park,02136,41,41,0,1.0,1.0,0.0,40,40,0.0,Rental,Private,Y,
708,Rivers Edge Condominiums,Mattapan,02126,62,62,0,56.0,56.0,0.0,6,6,0.0,Rental,Private,,
709,RMSC Family House Shelter Conversion,Dorchester,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
710,Robert L. Fortes House,Roxbury,02118,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,Y
711,Robinson (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
712,Rockingham Glen,West Roxbury,02132,143,143,0,100.0,100.0,0.0,43,43,0.0,Rental,Private,,
713,Rockland 202: Warren Gardens,Roxbury,02119,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,
714,Rockland Towers (2-50),West Roxbury,02132,69,69,0,0.0,0.0,0.0,69,69,0.0,Rental,Public,Y,
715,Rockvale Circle,Jamaica Plain,02130,30,30,0,15.0,15.0,0.0,15,15,0.0,Cooperative,Private,,
716,Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,
717,Rollins Square - Parcel 32C,South End,02118,184,37,147,74.0,0.0,74.0,110,37,73.0,Ownership/Rental,Private,?,
718,Rope Walk Complex,Charlestown,02129,97,97,0,84.0,84.0,0.0,13,13,0.0,Rental,Private,,
719,Roslindale Commons Condominiums,Roslindale,02131,12,0,12,11.0,0.0,11.0,1,0,1.0,Ownership,Private,,
720,Roslindale School,Roslindale,02131,84,84,0,0.0,0.0,0.0,84,84,0.0,Rental,Private,Y,Y
721,Roslindale Senior NP Hsg,Roslindale,02131,80,80,0,1.0,1.0,0.0,79,79,0.0,Rental,Private,Y,
722,Roslyn/Cliffmont,Roslindale,02131,118,118,0,0.0,0.0,0.0,118,118,0.0,Rental,Public,Y,
723,Roxbury Corners Coop,Roxbury,02118,54,54,0,13.0,13.0,0.0,41,41,0.0,Rental,Private,,
724,Roxbury Crossing Senior Building,Mission Hill,02120,40,40,0,1.0,1.0,0.0,39,39,0.0,Rental,Private,Y,
725,Roxbury Tenants of Harvard,Mission Hill,02115,20,20,0,7.0,7.0,0.0,13,13,0.0,Rental,Private,,
726,Roxse Homes,Roxbury,02118,346,346,0,0.0,0.0,0.0,346,346,0.0,Rental,Private,,Y
727,R-Prospect St,Charlestown,02129,14,0,14,11.0,0.0,11.0,3,0,3.0,Ownership,Private,,
728,RTH Restoration Housing,Mission Hill,02115,81,81,0,0.0,0.0,0.0,81,81,0.0,Rental,Private,Y,Y
729,Ruggles Shawmut Housing,Roxbury,02119,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,?,Y
730,Rutherford Landing,Charlestown,02129,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,
731,Rutland Square,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
732,Rutland/East Springfield St (2-74),South End,02118,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Public,,
733,S Boston Hsg Initiative- Habitat,South Boston,02127,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
734,Safe Haven,Back Bay,02116,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
735,Sarah Baker Manor,Roxbury,02119,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,Y
736,Saratoga Heights,East Boston,02128,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,
737,Sargent Prince SRO,Roxbury,02119,29,29,0,0.0,0.0,0.0,29,29,0.0,Rental,Private,,
738,Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0.0,0.0,0.0,16,5,11.0,Ownership/Rental,Private,,
739,Savin Hill Apartments,Dorchester,02125,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,Y
740,Savin Maywood Init. (Phase II),Roxbury,02119,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,
741,Savin/Creston Project,Roxbury,02119,28,28,0,2.0,2.0,0.0,26,26,0.0,Rental,Private,,
742,Savin/Maywood (Phase III) - Home Again,Roxbury,02119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
743,Scattered Site Coop,Jamaica Plain,02130,18,18,0,3.0,3.0,0.0,15,15,0.0,Cooperative,Private,,
744,School House 77,Roxbury,02119,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,?,
745,Schoolhouse Brookledge,Mattapan,02126,90,90,0,0.0,0.0,0.0,90,90,0.0,Rental,Private,Y,Y
746,Seaport Square Parcels B & C,South Boston Waterfront,02210,832,832,0,736.0,736.0,0.0,96,96,0.0,Rental,Private,,
747,SECD Housing,Roxbury,02118,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
748,SECHC Cumston St,South End,02118,58,0,58,51.0,0.0,51.0,7,0,7.0,Ownership,Private,,
749,SETH APARTMENTS I,South End,02118,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y
750,Seton Manor,Brighton,02135,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,
751,Shalom Properties,East Boston,02128,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,
752,Shawmut Ave Lodging House,South End,02118,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
753,Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,02119,15,0,15,0.0,0.0,0.0,15,0,15.0,Ownership,Private,,
754,Shore Plaza East,East Boston,02128,380,380,0,0.0,0.0,0.0,380,380,0.0,Rental,Private,,Y
755,Signal Building,South Boston,02127,75,0,75,66.0,0.0,66.0,9,0,9.0,Ownership,Private,,
756,Singleton (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
757,Siochain II,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
758,Siochain Rental Rehab Project I,East Boston,02128,12,12,0,1.0,1.0,0.0,11,11,0.0,Rental,Private,,
759,Sister Clara Co-op,Dorchester,02125,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,
760,Six55 Condominium,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
761,Smith House,Roxbury,02119,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Private,Y,
762,"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
763,Soares (VUP),Roxbury,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
764,"Sonoma, Maple, Schuyler",Roxbury,02121,115,115,0,15.0,15.0,0.0,100,100,0.0,Rental,Private,,Y
765,Sophia Snow House,West Roxbury,02132,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,?,
766,South Bay Mixed-Use Town Center (Building D),Dorchester,02125,260,260,0,226.0,226.0,0.0,34,34,0.0,Rental,Private,,
767,South Boston Coop Svc Hsg,South Boston,02127,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,Y,
768,South Boston Elderly Housing,South Boston,02127,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,Y,
769,South Boston Housing Initiative - Cityside,South Boston,02127,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
770,South Boston Portfolio,South Boston,02127,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,
771,South Cove Apts,Downtown,02109,231,231,0,2.0,2.0,0.0,229,229,0.0,Rental,Private,Y,Y
772,South End Apartments,Roxbury,02120,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,Y
773,SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
774,South End CHC,South End,02118,60,2,58,54.0,0.0,54.0,6,2,4.0,Ownership/Rental,Private,,
775,South End Coop. Housing,South End,02118,75,75,0,2.0,2.0,0.0,73,73,0.0,Rental,Private,,
776,South End Tenants I,South End,02118,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y
777,South End Tenants II,South End,02116,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y
778,South Street (200-12),Jamaica Plain,02130,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Public,,
779,Southwest Crossing Condominium,Roslindale,02131,12,0,12,8.0,0.0,8.0,4,0,4.0,Ownership/Rental,Private,,
780,Spencer House,Jamaica Plain,02119,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,Y,
781,Spring/Temple St (2-70),West Roxbury,02132,104,104,0,0.0,0.0,0.0,104,104,0.0,Rental,Public,Y,
782,St Botolph Apts (2-53),Back Bay,02116,132,132,0,0.0,0.0,0.0,132,132,0.0,Rental,Public,Y,
783,St Botolph St. Assisted Living Community,Back Bay,02118,82,82,0,28.0,28.0,0.0,54,54,0.0,Rental,Private,Y,
784,St Botolph Street Apts,Back Bay,02115,135,135,0,43.0,43.0,0.0,92,92,0.0,Rental,Private,,Y
785,St Botolph Terrace,Fenway,02115,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,,Y
786,St Cecilia's House,Fenway,02115,123,123,0,0.0,0.0,0.0,123,123,0.0,Rental,Private,Y,
787,St Gabriel's,Brighton,02135,670,559,111,572.0,476.0,96.0,98,83,15.0,Rental,Private,,
788,St Helena House,South End,02118,74,74,0,1.0,1.0,0.0,73,73,0.0,Rental,Private,Y,Y
789,St James Estate Condominium,Roxbury,02119,22,0,22,14.0,0.0,14.0,8,0,8.0,Ownership,Private,,
790,St John of God - Market & Clergy,Brighton,02135,92,8,84,84.0,0.0,84.0,8,8,0.0,Ownership/Rental,Private,,
791,St Josephs Housing,Roxbury,02119,137,137,0,32.0,32.0,0.0,105,105,,Rental,Private,,Y
792,St Kevin's,Dorchester,02125,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,
793,St Peter and Paul Church and Rectory,South Boston,02127,44,0,44,37.0,0.0,37.0,7,0,7.0,Ownership,Private,,
794,Stadia 50,Brighton,02135,46,0,46,40.0,0.0,40.0,6,0,6.0,Ownership,Private,,
795,Stafford Heights/New Boston Coop,Roxbury,02119,41,41,0,0.0,0.0,0.0,41,41,0.0,Cooperative,Private,,
796,Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0.0,0.0,0.0,19,7,12.0,Ownership/Rental,Private,,
797,Stille (VUP),South Boston,02127,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
798,Stonewall at Audubon Circle Phase I,Fenway,02215,53,0,53,48.0,0.0,48.0,5,0,5.0,Ownership,Private,,
799,Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,02130,50,50,0,0.0,0.0,0.0,50,50,0.0,Cooperative,Private,,
800,Stony Brook Village (formerly Canterbury Hts),Roslindale,02136,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,
801,Strada 234,West End,02114,108,108,0,88.0,88.0,0.0,20,20,0.0,Rental,Private,,
802,Strathcona Arms (p/o Ten Most Wanted),Dorchester,02121,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,
803,Sullivan (VUP),Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
804,Sumner Court,Dorchester,02125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
805,Sumner Hill House,Jamaica Plain,02130,75,0,75,45.0,0.0,45.0,30,0,30.0,Rental,Private,,
806,Suppressed1,South End,02118,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,
807,Suppressed10,Dorchester,02124,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
808,Suppressed11,Fenway,02115,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,Y,
809,Suppressed12,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
810,Suppressed13,Fenway,02215,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
811,Suppressed14,Jamaica Plain,02119,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
812,Suppressed15,Brighton,02135,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,
813,Suppressed16,South End,02118,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
814,Suppressed17,East Boston,02128,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,
815,Suppressed18,Dorchester,02122,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
816,Suppressed19,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
817,Suppressed2,Roxbury,02120,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,
818,Suppressed20,Dorchester,02125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
819,Suppressed21,South End,02118,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
820,Suppressed22,Roxbury,02119,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,
821,Suppressed23,Dorchester,02124,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
822,Suppressed24,Dorchester,02124,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
823,Suppressed25,Dorchester,02124,11,11,0,1.0,1.0,0.0,10,10,0.0,Rental,Private,,
824,Suppressed26,Downtown,02116,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,,
825,Suppressed27,Brighton,02135,102,102,0,33.0,33.0,0.0,69,69,0.0,Rental,Private,Y,
826,Suppressed28,Jamaica Plain,02130,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
827,Suppressed29,Mattapan,02126,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
828,Suppressed3,Allston,02134,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
829,Suppressed30,Roxbury,02125,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
830,Suppressed31,Beacon Hill,02114,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,
